BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	isolate_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	estimated_size_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	isol_growth_condt_s	lat_lon_s	num_replicons_s	ploidy_s	propagation_s	source_s
SAMN03263931	SRX834436	Python bivittatus Ak4_12h_2	2015-01-10	75	33	SRR1746809	SRS812456	AK4_12h	AK4	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263932	SRX834437	Python bivittatus U7_12h	2015-01-10	74	31	SRR1746810	SRS812457	U7_12h	U7	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263933	SRX834438	Python bivittatus U13_12h	2015-01-10	53	23	SRR1746811	SRS812458	U13_12h	U13	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263934	SRX834439	Python bivittatus Z14_24h_1	2015-01-12	187	116	SRR1746812	SRS812459	Z14_24h	Z14	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263934	SRX834440	Python bivittatus Z14_24h_2	2015-01-12	195	95	SRR1746813	SRS812459	Z14_24h	Z14	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263934	SRX834441	Python bivittatus Z14_24h_3	2015-01-12	269	171	SRR1746814	SRS812459	Z14_24h	Z14	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263936	SRX834442	Python bivittatus Z18_24h_1	2015-01-12	0	0	SRR1746815	SRS812460	Z18_24h	Z18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263936	SRX834443	Python bivittatus Z18_24h_2	2015-01-12	0	0	SRR1746816	SRS812460	Z18_24h	Z18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263936	SRX834444	Python bivittatus Z18_24h_3	2015-01-16	312	208	SRR1746817	SRS812460	Z18_24h	Z18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263937	SRX834445	Python bivittatus S6_24h_1	2015-01-12	99	41	SRR1746818	SRS812461	S6_24h	S6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263937	SRX834446	Python bivittatus S6_24h_2	2015-01-10	75	32	SRR1746819	SRS812461	S6_24h	S6	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263935	SRX834447	Python bivittatus V43_24h	2015-01-16	354	237	SRR1746820	SRS812462	V43_24h	V43	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263938	SRX834448	Python bivittatus W20_24h	2015-01-12	101	43	SRR1746821	SRS812463	W20_24h	W20	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263939	SRX834449	Python bivittatus Y5_96h_1	2015-01-12	171	108	SRR1746822	SRS812464	Y5_96h	Y5	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263939	SRX834450	Python bivittatus Y5_96h_2	2015-01-12	170	83	SRR1746823	SRS812464	Y5_96h	Y5	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263940	SRX834451	Python bivittatus Y18_96h_1	2015-01-12	165	104	SRR1746824	SRS812465	Y18_96h	Y18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263940	SRX834452	Python bivittatus Y18_96h_2	2015-01-12	161	81	SRR1746825	SRS812465	Y18_96h	Y18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263940	SRX834453	Python bivittatus Y18_96h_3	2015-01-16	269	170	SRR1746826	SRS812465	Y18_96h	Y18	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263941	SRX834454	Python bivittatus Y23_96h_1	2015-01-12	139	90	SRR1746827	SRS812466	Y23_96h	Y23	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263941	SRX834455	Python bivittatus Y23_96h_2	2015-01-12	136	68	SRR1746828	SRS812466	Y23_96h	Y23	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263942	SRX834456	Python bivittatus Y24_96h	2015-01-16	444	298	SRR1746829	SRS812467	Y24_96h	Y24	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263943	SRX834457	Python bivittatus W2_96h	2015-01-12	20	8	SRR1746830	SRS812468	W2_96h	W2	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263944	SRX834458	Python bivittatus V40_96h	2015-01-12	38	16	SRR1746831	SRS812469	V40_96h	V40	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263945	SRX834459	Python bivittatus U1_240h	2015-01-10	56	24	SRR1746832	SRS812470	U1_10d	U1	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263946	SRX834460	Python bivittatus V29_240h	2015-01-10	273	117	SRR1746833	SRS812471	V29_10d	V29	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263947	SRX834461	Python bivittatus W12_240h	2015-01-10	66	27	SRR1746834	SRS812472	W12_10d	W12	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263948	SRX834462	Python bivittatus W22_240h_1	2015-01-12	39	16	SRR1746835	SRS812473	W22_10d	W22	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
SAMN03263948	SRX834463	Python bivittatus W22_240h_2	2015-01-10	75	31	SRR1746836	SRS812473	W22_10d	W22	RNA-Seq	<not provided>	PRJNA267231	MIGS.eu	UNIVERSITY OF TEXAS AT ARLINGTON	public	0	SINGLE	RANDOM	TRANSCRIPTOMIC	Python bivittatus	ILLUMINA	2015-01-21	SRP051827	2011	not applicable	not applicable	not applicable	1.44 Gbp	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	diploid	sexual	<not provided>
